Company Name,Industry,Symbol,Series,ISIN Code
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01012
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC,EQ,INE142Z01019
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,EQ,INE343B01030
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,EQ,INE131B01039
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,EQ,INE225D01027
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,EQ,INE690A01010
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
