Company Name,Industry,Symbol,Series,ISIN Code
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024
Infosys Ltd.,IT,INFY,EQ,INE009A01021
Larsen & Toubro Infotech Ltd.,IT,LTI,EQ,INE214T01019
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
NIIT Technologies Ltd.,IT,NIITTECH,EQ,INE591G01017
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
