Company Name,Industry,Symbol,Series,ISIN Code
Adani Gas Ltd.,OIL & GAS,ADANIGAS,EQ,INE399L01023
Aegis Logistics Ltd.,OIL & GAS,AEGISCHEM,EQ,INE208C01025
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,EQ,INE246F01010
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,EQ,INE094A01015
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010
Indraprastha Gas Ltd.,OIL & GAS,IGL,EQ,INE203G01027
Mahanagar Gas Ltd.,OIL & GAS,MGL,EQ,INE002S01010
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Oil India Ltd.,OIL & GAS,OIL,EQ,INE274J01014
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018
